theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.39242336339333367,0.4168457602667316,0.949089191816187,0.9490793819183936,0.022933469116807714,0.175,0.173,1.188,4.11,0.047,1.167,1.166
4.444444444444445,0.39515159334222716,0.4168458715649658,1.2487158990960436,1.2487072280478269,0.020215764869861097,0.217,0.216,1.543,4.513,0.053,1.52,1.518
4.888888888888889,0.39785299935414536,0.41684737505217395,1.5859207983629338,1.5859134648843654,0.017565437077809776,0.264,0.263,1.942,4.929,0.058,1.916,1.915
5.333333333333333,0.40053335449515826,0.41684534946039076,1.9529801172090122,1.9529742210635925,0.014972531523222088,0.316,0.315,2.377,5.356,0.064,2.348,2.347
5.777777777777778,0.4032036989212412,0.41684484157907037,2.341904943391045,2.341900490100085,0.01242407819509328,0.373,0.372,2.839,5.79,0.069,2.808,2.807
6.222222222222222,0.40587653340449853,0.41684331143911263,2.7453937765827527,2.745390690564103,0.009907647798310215,0.434,0.434,3.322,6.229,0.075,3.288,3.287
6.666666666666666,0.40856320174439537,0.4168409860951522,3.1573218872456357,3.157320012380385,0.007413140755657466,0.501,0.5,3.82,6.67,0.08,3.783,3.782
7.111111111111111,0.4112726635056491,0.41683759240819357,3.572859233192491,3.5728583324612355,0.004933253960683004,0.572,0.571,4.327,7.113,0.085,4.288,4.287
7.555555555555555,0.4140113396349763,0.41525132163694356,3.9883666892616714,3.988366639862199,0.0024631798292844564,0.648,0.647,4.84,7.556,0.091,4.798,4.798
8.0,0.4167835397926566,0.4167835397926566,4.401196829682202,4.401196829682202,9.971919411988495e-06,0.728,0.728,5.356,8.0,0.096,5.311,5.311
