theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.39242336339333367,0.39270336741927037,0.949089191816187,0.9490891903111012,0.0016222616318195549,0.9474669286792816,0.175,0.175,1.188,4.11,0.047,1.167,1.167
4.2105263157894735,0.3937190616035136,0.29679989121264777,1.0858901509869394,1.0857303184521276,0.0011599231361418827,1.0845703953159858,0.194,0.199,1.35,4.299,0.05,1.328,1.334
4.421052631578947,0.3950086862259008,0.22112002123365884,1.231946273000221,1.2314112042430945,0.0007692737961033647,1.230641930446991,0.214,0.224,1.523,4.491,0.052,1.5,1.511
4.631578947368421,0.39629213351297027,0.18903773302396806,1.3865422511653729,1.3857493409980157,0.0004469449227495481,1.3853023960752662,0.236,0.247,1.706,4.687,0.055,1.682,1.695
4.842105263157895,0.3975697902089301,0.1387234857070827,1.5488793520187878,1.5475968198300007,0.0002821800814278852,1.5473146397485729,0.259,0.274,1.898,4.885,0.058,1.872,1.89
5.052631578947368,0.39884243290477006,0.08271295408894472,1.7181099148152927,1.7161333386297337,0.0001874465014193305,1.7159458921283144,0.283,0.302,2.098,5.086,0.06,2.071,2.093
5.2631578947368425,0.4001111237557864,0.04715636710002048,1.8933691380674458,1.890820961227539,0.00010259238657761571,1.8907183688409614,0.307,0.33,2.306,5.288,0.063,2.278,2.303
5.473684210526316,0.4013771093520301,0.03569928259149713,2.0738023289438248,2.0709683617280934,5.115708631064919e-05,2.0709172046417827,0.333,0.357,2.52,5.493,0.065,2.491,2.518
5.684210526315789,0.4026417289540883,0.01974301321897697,2.2585866475519314,2.2553754068367597,3.2983116282636615e-05,2.255342423720477,0.36,0.386,2.74,5.698,0.068,2.709,2.738
5.894736842105263,0.4039063367297051,0.009180916855125015,2.446947129731666,2.4434228099828887,1.6461605191420148e-05,2.4434063483776973,0.389,0.416,2.965,5.905,0.071,2.933,2.964
6.105263157894736,0.40517224060173124,0.006427984814284782,2.6381673362228346,2.6344540359703985,9.113782855951769e-06,2.6344449221875426,0.418,0.447,3.194,6.113,0.073,3.16,3.193
6.315789473684211,0.40644065831392456,0.0025491643553224312,2.8315953316477205,2.827667721379805,4.551688469245363e-06,2.827663169691336,0.448,0.479,3.426,6.321,0.076,3.392,3.426
6.526315789473684,0.4077126896618722,0.0017887939523340006,3.0266458655259614,3.022558911889066,2.8530681515093193e-06,3.0225560588209146,0.479,0.511,3.661,6.53,0.078,3.626,3.661
6.7368421052631575,0.40898930268627304,0.0006637779274751444,3.2227996533946985,3.2185444497071183,1.9008664500219652e-06,3.2185425488406683,0.512,0.545,3.899,6.74,0.081,3.862,3.899
6.947368421052632,0.4102713310117973,0.000488897206399455,3.4196005878044717,3.415194809529593,9.499500546183981e-07,3.4151938595795386,0.545,0.579,4.139,6.949,0.083,4.101,4.139
7.157894736842105,0.4115594793669152,0.0003750107447077074,3.6166515894817044,3.61209561959447,6.913547982989598e-07,3.6120949282396717,0.579,0.615,4.381,7.159,0.086,4.341,4.381
7.368421052631579,0.41285433451735065,9.741287289715544e-05,3.813609670795258,3.80889899260438,5.183980134049193e-07,3.8088984742063667,0.615,0.652,4.623,7.369,0.088,4.582,4.623
7.578947368421052,0.4141563792551608,0.00010208491378124393,4.010180648322097,4.005320527143089,3.455365531479515e-07,4.005320181606536,0.652,0.689,4.867,7.58,0.091,4.825,4.867
7.789473684210526,0.4154660075893323,8.320335373071183e-05,4.206113820929983,4.201102879378582,1.7274382368981378e-07,4.201102706634758,0.689,0.728,5.111,7.79,0.093,5.068,5.111
8.0,0.4167835397926566,6.833471265057373e-05,4.401196829682202,4.396034278264788,0.0,4.396034278264788,0.728,0.768,5.356,8.0,0.096,5.311,5.356
