theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.39242336339333367,0.3926966336588816,0.949089191816187,0.9490891903773933,0.0017180012841566672,0.175,0.175,1.188,4.11,0.047,1.167,1.167
4.081632653061225,0.392926468042246,0.3769647795318607,1.0009947683088476,1.0009905341452368,0.001523845662079637,0.182,0.183,1.249,4.183,0.048,1.228,1.229
4.163265306122449,0.3934287046797974,0.340483186535723,1.0543507781213604,1.0543033507058241,0.0013330722320292754,0.189,0.192,1.313,4.256,0.049,1.291,1.294
4.244897959183674,0.39393003678976507,0.3152787249109327,1.1091215638682832,1.1090151151204797,0.0011640219807051988,0.197,0.201,1.378,4.33,0.05,1.356,1.36
4.326530612244898,0.3944304414721124,0.2859192878811351,1.1652686196535258,1.1650628276666233,0.0010058481737378333,0.205,0.211,1.444,4.405,0.051,1.422,1.428
4.408163265306122,0.39492990869963507,0.26144142858041325,1.2227508886199827,1.2224345521626514,0.0008604518395867178,0.213,0.22,1.512,4.479,0.052,1.489,1.498
4.489795918367347,0.39542844052938375,0.2380985103919893,1.2815250691023534,1.2810789091677999,0.0007421368795919037,0.221,0.23,1.582,4.555,0.053,1.558,1.568
4.571428571428571,0.3959260502728883,0.21268140270451746,1.341545924933444,1.3409319319267303,0.0006457075923429478,0.23,0.24,1.653,4.631,0.054,1.629,1.641
4.653061224489796,0.3964227616310622,0.18947154143989553,1.40276659568557,1.4019722655199542,0.0005524986211753458,0.238,0.25,1.725,4.707,0.055,1.701,1.714
4.73469387755102,0.39691860780108135,0.17337842631662048,1.4651389029403967,1.4641982582944548,0.0004596342862104308,0.247,0.26,1.799,4.784,0.056,1.774,1.789
4.816326530612245,0.39741363056362217,0.15323344519352686,1.5286136490559579,1.5274757149455744,0.0003800068169970139,0.256,0.27,1.874,4.861,0.057,1.849,1.865
4.8979591836734695,0.39790787935956523,0.1337151714363567,1.5931409053212717,1.5917907512473313,0.000309512995484873,0.265,0.28,1.95,4.938,0.058,1.924,1.942
4.979591836734694,0.39840141036554666,0.1144786620415217,1.6586702868400223,1.657090358943103,0.0002600363307325715,0.274,0.291,2.028,5.016,0.059,2.001,2.021
5.061224489795919,0.3988942855778176,0.10037833327421483,1.7251512119489503,1.7233808421539372,0.00021640402822686866,0.284,0.302,2.107,5.094,0.06,2.08,2.1
5.142857142857142,0.3993865719134943,0.08795699001052593,1.7925331444395023,1.7905801244238158,0.00017289812978393826,0.293,0.312,2.186,5.172,0.061,2.159,2.181
5.224489795918367,0.39987834033782343,0.07325785454883224,1.8607658173002184,1.8585899626906144,0.00013364024716278067,0.303,0.323,2.267,5.251,0.062,2.239,2.263
5.3061224489795915,0.40036966502527893,0.060071052260341255,1.9297994371219471,1.9274072865702605,0.00011021294567470363,0.313,0.334,2.349,5.33,0.063,2.321,2.345
5.387755102040816,0.4008606225614354,0.049141301132907926,1.999584868700061,1.996996575325356,8.807703834090574e-05,0.323,0.345,2.432,5.409,0.064,2.403,2.429
5.469387755102041,0.4013512911915304,0.04243849599518989,2.070073799721503,2.0673427903450583,6.599460553191605e-05,0.333,0.356,2.516,5.488,0.065,2.486,2.513
5.551020408163265,0.4018417501205539,0.03296721742893185,2.1412188857359893,2.13829799315989,5.166608077589174e-05,0.343,0.368,2.6,5.568,0.066,2.57,2.598
