theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.392423,10.0,0.9490891918156983,0.0,0.0,0.175,0.0,1.188,4.11,0.047,1.167,0.011
4.444444444444445,0.395152,10.0,1.2487158990917768,0.0,0.0,0.217,0.0,1.543,4.513,0.053,1.52,0.021
4.888888888888889,0.397853,10.0,1.5859207983445618,0.0,0.0,0.264,0.0,1.942,4.929,0.058,1.916,0.038
5.333333333333333,0.400533,10.0,1.9529801171238383,0.0,0.0,0.316,0.0,2.377,5.356,0.064,2.348,0.066
5.777777777777778,0.403204,1.3080870046322954,2.3419049430145487,2.3194829398960257,0.09595154861781863,0.373,0.311,2.839,5.79,0.069,2.808,2.708
6.222222222222222,0.405877,1.013543782598057,2.7453937750477486,2.7350728672981117,0.5689619984475804,0.434,0.389,3.322,6.229,0.075,3.288,3.221
6.666666666666666,0.408563,0.8099350655722342,3.157321881356303,3.1526877904095914,1.0593772257539165,0.501,0.469,3.82,6.67,0.08,3.783,3.738
7.111111111111111,0.411273,0.6530161959984104,3.572859211833042,3.571123968567055,1.561114362294545,0.572,0.551,4.327,7.113,0.085,4.288,4.26
7.555555555555555,0.414011,0.5242737738757951,3.988366615918604,3.987993584098721,2.069974826820402,0.648,0.638,4.84,7.556,0.091,4.798,4.785
8.0,0.416784,0.416784,4.401196590660811,4.401196590660811,2.5830069661286044,0.728,0.728,5.356,8.0,0.096,5.311,5.311
