theta_0,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
4.0,0.392184,5.0,0.9490876529860125,0.0,0.0,0.175,0.019,1.188,4.11,0.047,1.167,0.498
4.081632653061225,0.392692,5.0,1.000993225532562,0.0,0.0,0.182,0.021,1.249,4.183,0.048,1.228,0.534
4.163265306122449,0.393198,5.0,1.054349231402202,0.0,0.0,0.189,0.022,1.313,4.256,0.049,1.291,0.571
4.244897959183674,0.393704,5.0,1.1091200132076333,0.0,0.0,0.197,0.024,1.378,4.33,0.05,1.356,0.61
4.326530612244898,0.394209,5.0,1.1652670650538923,0.0,0.0,0.205,0.026,1.444,4.405,0.051,1.422,0.651
4.408163265306122,0.394712,5.0,1.2227493300846373,0.0,0.0,0.213,0.028,1.512,4.479,0.052,1.489,0.693
4.489795918367347,0.395215,5.0,1.2815235066317145,0.0,0.0,0.221,0.031,1.582,4.555,0.053,1.558,0.736
4.571428571428571,0.395716,5.0,1.341544358530721,0.0,0.0,0.23,0.033,1.653,4.631,0.054,1.629,0.782
4.653061224489796,0.396216,5.0,1.4027650253515176,0.0,0.0,0.238,0.036,1.725,4.707,0.055,1.701,0.828
4.73469387755102,0.396715,5.0,1.4651373286758675,0.0,0.0,0.247,0.038,1.799,4.784,0.056,1.774,0.876
4.816326530612245,0.397214,5.0,1.5286120708590967,0.0,0.0,0.256,0.041,1.874,4.861,0.057,1.849,0.926
4.8979591836734695,0.397711,5.0,1.5931393231930853,0.0,0.0,0.265,0.044,1.95,4.938,0.058,1.924,0.977
4.979591836734694,0.398207,5.0,1.6586687007794767,0.0,0.0,0.274,0.047,2.028,5.016,0.059,2.001,1.029
5.061224489795919,0.398703,5.0,1.725149621951767,0.0,0.0,0.284,0.05,2.107,5.094,0.06,2.08,1.083
5.142857142857142,0.399198,5.0,1.7925315505022827,0.0,0.0,0.293,0.054,2.186,5.172,0.061,2.159,1.138
5.224489795918367,0.399692,5.0,1.8607642194186542,0.0,0.0,0.303,0.057,2.267,5.251,0.062,2.239,1.194
5.3061224489795915,0.400186,5.0,1.929797835287745,0.0,0.0,0.313,0.061,2.349,5.33,0.063,2.321,1.252
5.387755102040816,0.40068,5.0,1.9995832629029975,0.0,0.0,0.323,0.065,2.432,5.409,0.064,2.403,1.311
5.469387755102041,0.401173,5.0,2.070072189952121,0.0,0.0,0.333,0.069,2.516,5.488,0.065,2.486,1.371
