theta_0,theta_1,FB_y_0,y_0,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,4.0,1.409835,10.0,0.08329425723414624,0.0,0.0,0.0,0.129,0.0,0.538,4.11,0.047,0.244,0.0
0.4,4.0,0.706002,10.0,0.3564484348833816,0.0,0.0,0.0,0.16,0.0,0.703,4.11,0.047,0.557,0.002
0.6000000000000001,4.0,0.470645,10.0,0.9124463803488168,0.0,0.0,0.0,0.171,0.0,1.214,4.11,0.047,1.126,0.01
0.8,4.0,0.352982,10.0,1.774360251496601,0.0,0.0,0.0,0.176,0.0,2.033,4.11,0.047,1.995,0.036
1.0,4.0,0.282423,1.0764574544598933,2.7299195429736756,2.7085305966441573,0.08396296818872001,2.6245676284554373,0.18,0.143,2.929,4.11,0.047,2.954,2.888
0.2,5.0,1.499359,10.0,0.16154750670832702,0.0,0.0,0.0,0.212,0.0,0.809,5.035,0.06,0.427,0.002
0.4,5.0,0.750618,10.0,0.6782946528240931,0.0,0.0,0.0,0.256,0.0,1.18,5.035,0.06,0.998,0.011
0.6000000000000001,5.0,0.500339,10.0,1.609608305361932,0.0,0.0,0.0,0.27,0.0,2.033,5.035,0.06,1.948,0.043
0.8,5.0,0.37523,0.995383688366188,2.7413152121038706,2.729215117273068,0.21743236915765302,2.511782748115415,0.278,0.241,3.077,5.035,0.06,3.089,3.031
1.0,5.0,0.300211,0.7462299314575227,3.771652120295081,3.763911295505465,1.2397278989687286,2.5241833965367366,0.282,0.256,4.002,5.035,0.06,4.125,4.084
0.2,6.0,1.585513,10.0,0.2827308329727461,0.0,0.0,0.0,0.319,0.001,1.142,6.009,0.072,0.681,0.008
0.4,6.0,0.793153,10.0,1.1422671963685238,0.0,0.0,0.0,0.375,0.001,1.802,6.009,0.072,1.611,0.044
0.6000000000000001,6.0,0.528714,3.1760469361458665,2.447966130989992,2.1945572597958494,0.13108932447347443,2.063467935322375,0.394,0.208,2.966,6.009,0.072,2.941,2.455
0.8,6.0,0.396508,0.6917099143266974,3.728208241913382,3.7251718226073347,1.3528604285606298,2.372311394046705,0.404,0.382,4.097,6.009,0.072,4.233,4.203
1.0,6.0,0.317223,0.5734340881859976,4.767920077776159,4.765043492695915,2.3892624985268394,2.3757809941690753,0.409,0.391,4.973,6.009,0.072,5.279,5.254
0.2,7.0,1.669932,10.0,0.4561662949479459,0.0,0.0,0.0,0.448,0.005,1.539,7.002,0.084,1.016,0.031
0.4,7.0,0.835138,8.246899041517036,1.7391599132410493,0.416088442384875,0.1359340441488674,0.28015439823600763,0.518,0.027,2.528,7.002,0.084,2.387,0.45
0.6000000000000001,7.0,0.556734,0.8139248733130553,3.3492589440604537,3.3473177051443033,1.160871891159275,2.1864458139850282,0.541,0.52,3.899,7.002,0.084,4.026,3.997
0.8,7.0,0.41753,0.5607379843031148,4.6892454691456855,4.688451332218423,2.4987736144072215,2.1896777178112017,0.553,0.541,5.017,7.002,0.084,5.38,5.365
1.0,7.0,0.334033,0.45208902475787627,5.713696070379408,5.713020695627556,3.521455867118499,2.191564828509057,0.56,0.55,5.813,7.002,0.084,6.414,6.401
0.2,8.0,1.754783,10.0,0.6888054725537219,0.0,0.0,0.0,0.6,0.016,1.982,8.0,0.096,1.438,0.096
0.4,8.0,0.877454,3.1847101516797958,2.4390731085117134,2.2983935326399996,0.5686391418687617,1.7297543907712378,0.684,0.463,3.278,8.0,0.096,3.294,2.877
0.6000000000000001,8.0,0.584967,0.5214480836186295,4.2596014609232915,4.259474962056125,2.286463765917357,1.9730111961387684,0.712,0.718,4.744,8.0,0.096,5.149,5.157
0.8,8.0,0.438711,0.4236595363686527,5.609599731783511,5.609590192730518,3.636294517260058,1.9732956754704598,0.726,0.727,5.798,8.0,0.096,6.517,6.519
1.0,8.0,0.350974,0.350974,6.611343066137755,6.611343066137755,4.637763232847794,1.9735798332899606,0.734,0.734,6.51,8.0,0.096,7.529,7.529
