theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,SB_profits,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,4.0,1.175971,0.0,10.0,1.0,0.09432998972621146,0.0,0.0,0.0,0.139,0.0,0.328,4.11,0.047,0.268,0.0
0.2888888888888889,4.0,0.814587,0.0,10.0,1.0,0.19405567090629622,0.0,0.0,0.0,0.155,0.0,0.43,4.11,0.047,0.388,0.0
0.37777777777777777,4.0,0.623244,0.0,10.0,1.0,0.33561728249699796,0.0,0.0,0.0,0.164,0.0,0.573,4.11,0.047,0.54,0.0
0.4666666666666667,4.0,0.504459,0.0,10.0,1.0,0.5316365368220008,0.0,0.0,0.0,0.169,0.0,0.77,4.11,0.047,0.743,0.0
0.5555555555555556,4.0,0.423802,0.0,10.0,1.0,0.7928386065445344,0.0,0.0,0.0,0.173,0.0,1.031,4.11,0.047,1.009,0.0
0.6444444444444445,4.0,0.365419,0.0,10.0,1.0,1.121462762718299,0.0,0.0,0.0,0.176,0.0,1.36,4.11,0.047,1.341,0.0
0.7333333333333334,4.0,0.321244,0.0,10.0,1.0,1.5063272428275571,0.0,0.0,0.0,0.178,0.0,1.745,4.11,0.047,1.729,0.0
0.8222222222222222,4.0,0.286373,0.0,10.0,1.0,1.9250885817679673,0.0,0.0,0.0,0.179,0.0,2.164,4.11,0.047,2.149,0.0
0.9111111111111112,4.0,0.25844,0.0,0.0,0.9083661513250026,2.3531588385501805,0.5808833843970854,0.014942936643503435,0.565940447753582,0.181,0.018,2.593,4.11,0.047,2.579,0.603
1.0,4.0,0.235474,0.0,0.0,0.6886387559867584,2.771867872035036,1.8718144887135302,0.08056660650752534,1.791247882206005,0.182,0.06,3.011,4.11,0.047,2.999,1.947
0.2,4.444444444444445,1.184412,0.0,10.0,1.0,0.12951133875435225,0.0,0.0,0.0,0.176,0.0,0.418,4.513,0.053,0.35,0.0
0.2888888888888889,4.444444444444445,0.820336,0.0,10.0,1.0,0.264960486184762,0.0,0.0,0.0,0.195,0.0,0.556,4.513,0.053,0.508,0.0
0.37777777777777777,4.444444444444445,0.627681,0.0,10.0,1.0,0.4565177210142024,0.0,0.0,0.0,0.205,0.0,0.749,4.513,0.053,0.712,0.0
0.4666666666666667,4.444444444444445,0.50805,0.0,10.0,1.0,0.7175188053480591,0.0,0.0,0.0,0.211,0.0,1.011,4.513,0.053,0.981,0.0
0.5555555555555556,4.444444444444445,0.426743,0.0,10.0,1.0,1.054107580224791,0.0,0.0,0.0,0.215,0.0,1.348,4.513,0.053,1.323,0.0
0.6444444444444445,4.444444444444445,0.367957,0.0,10.0,1.0,1.45766759423138,0.0,0.0,0.0,0.218,0.0,1.752,4.513,0.053,1.73,0.0
0.7333333333333334,4.444444444444445,0.323478,0.0,10.0,1.0,1.9045562529004725,0.0,0.0,0.0,0.221,0.0,2.199,4.513,0.053,2.18,0.0
0.8222222222222222,4.444444444444445,0.288345,0.0,0.0,0.90833695068455,2.3655754090046157,0.5720960171187385,0.011113884416222852,0.5609821327025156,0.222,0.022,2.661,4.513,0.053,2.644,0.599
0.9111111111111112,4.444444444444445,0.260219,0.0,0.0,0.6885628154349639,2.8171146198017425,1.8697596271692498,0.09558318482996431,1.7741764423392854,0.224,0.074,3.112,4.513,0.053,3.097,1.962
1.0,4.444444444444445,0.237093,0.0,0.0,0.6046602031810652,3.2457831483345316,2.4778590493518187,0.31764486593186503,2.1602141834199537,0.225,0.094,3.541,4.513,0.053,3.527,2.595
0.2,4.888888888888889,1.19273,0.0,10.0,1.0,0.17340049244963351,0.0,0.0,0.0,0.218,0.0,0.523,4.929,0.058,0.446,0.0
0.2888888888888889,4.888888888888889,0.826016,0.0,10.0,1.0,0.35268646958981187,0.0,0.0,0.0,0.239,0.0,0.705,4.929,0.058,0.652,0.0
0.37777777777777777,4.888888888888889,0.632022,0.0,10.0,1.0,0.6042088452655191,0.0,0.0,0.0,0.25,0.0,0.958,4.929,0.058,0.917,0.0
0.4666666666666667,4.888888888888889,0.511441,0.0,10.0,1.0,0.9392120357313292,0.0,0.0,0.0,0.257,0.0,1.294,4.929,0.058,1.261,0.0
0.5555555555555556,4.888888888888889,0.429655,0.0,10.0,1.0,1.3545450366321157,0.0,0.0,0.0,0.262,0.0,1.71,4.929,0.058,1.682,0.0
0.6444444444444445,4.888888888888889,0.370465,0.0,10.0,1.0,1.8276960106261964,0.0,0.0,0.0,0.266,0.0,2.184,4.929,0.058,2.16,0.0
0.7333333333333334,4.888888888888889,0.325675,0.0,0.012325297325907324,0.9079799725716686,2.324744707690184,0.5565117335821752,0.0042942476567336685,0.5522174859254415,0.268,0.026,2.681,4.929,0.058,2.66,0.589
0.8222222222222222,4.888888888888889,0.290301,0.0,0.0,0.6887705794073543,2.815052739401091,1.844294837443948,0.0903114276830882,1.7539834097608598,0.27,0.089,3.172,4.929,0.058,3.153,1.956
0.9111111111111112,4.888888888888889,0.261983,0.0,0.0,0.6051575939530816,3.2799197019650124,2.4729844071397866,0.3393047536594601,2.1336796534803266,0.272,0.113,3.637,4.929,0.058,3.62,2.615
1.0,4.888888888888889,0.238699,0.0,0.0,0.4637612819452045,3.712156089338291,3.282283155179022,0.6024118348767665,2.6798713203022557,0.273,0.154,4.069,4.929,0.058,4.054,3.475
0.2,5.333333333333333,1.201247,0.0,10.0,1.0,0.22708152618492766,0.0,0.0,0.0,0.265,0.0,0.644,5.356,0.064,0.559,0.0
0.2888888888888889,5.333333333333333,0.831639,0.0,10.0,1.0,0.45892066706999163,0.0,0.0,0.0,0.289,0.0,0.879,5.356,0.064,0.82,0.0
0.37777777777777777,5.333333333333333,0.636,0.0,10.0,1.0,0.7800665669245975,0.0,0.0,0.0,0.301,0.0,1.202,5.356,0.064,1.156,0.0
0.4666666666666667,5.333333333333333,0.514888,0.0,10.0,1.0,1.1956152611776856,0.0,0.0,0.0,0.309,0.0,1.618,5.356,0.064,1.582,0.0
0.5555555555555556,5.333333333333333,0.432544,0.0,10.0,1.0,1.6885871022790742,0.0,0.0,0.0,0.314,0.0,2.112,5.356,0.064,2.081,0.0
0.6444444444444445,5.333333333333333,0.37295,0.0,10.0,1.0,2.2222842839963213,0.0,0.0,0.0,0.318,0.0,2.646,5.356,0.064,2.619,0.0
