y_0,y_1
1.143452,0.003741
1.061958,0.002715
0.990903,0.002635
0.928409,0.002031
0.874086,0.001738
0.826204,0.001102
0.782627,0.000832
0.743927,0.000454
0.708531,0.000412
0.676423,0.000382
0.645938,0.000516
0.618914,0.000475
0.59406,0.000441
0.571475,0.00025
0.550233,0.000217
0.530507,0.000192
0.512138,0.000174
0.494982,0.000163
0.478982,0.000143
0.46397,0.00013
1.149129,0.003049
1.067571,0.002138
0.996002,0.002238
0.933546,0.001785
0.878563,0.001527
0.830356,0.000955
0.786538,0.000732
0.747615,0.000404
0.712054,0.000368
0.679796,0.000343
0.649212,0.00046
0.622062,0.000424
0.597091,0.000396
0.574371,0.000217
0.553026,0.00019
0.533202,0.00017
0.514735,0.000158
0.497535,0.00014
0.481445,0.000126
0.466355,0.000115
1.155969,0.002645
1.073294,0.002166
1.001278,0.001754
0.938631,0.001542
0.88339,0.001348
0.834859,0.000835
0.7908,0.000647
0.751644,0.00036
0.715905,0.00033
0.682572,0.00045
0.652796,0.000411
0.625509,0.00038
0.600721,0.000222
0.57755,0.00019
0.556091,0.000168
0.536155,0.000154
0.517617,0.000138
0.500329,0.000123
0.484149,0.000111
0.468978,0.000102
1.162881,0.002173
1.079656,0.001861
1.007434,0.001571
0.944076,0.001312
0.888615,0.001195
0.839756,0.000736
0.795453,0.000575
0.756051,0.000323
0.720121,0.000297
0.686657,0.000402
0.656721,0.000369
0.629287,0.000342
0.604338,0.000195
0.581035,0.000169
0.559449,0.000152
0.539411,0.000138
0.520787,0.000121
0.503393,0.000109
0.487119,0.0001
0.471863,9.2e-05
1.17003,0.002103
1.086494,0.001605
1.013888,0.001311
0.950288,0.001214
0.894289,0.001065
0.845095,0.000655
0.800536,0.000513
0.760876,0.000289
0.724738,0.000267
0.691129,0.00036
0.661021,0.000331
0.633424,0.000308
0.608303,0.000173
0.584854,0.000152
0.56313,0.00014
0.543009,0.00012
0.52426,0.000107
0.506757,9.8e-05
0.490383,9e-05
0.475034,8.3e-05
1.177962,0.001825
1.093866,0.001397
1.020878,0.001074
0.956844,0.001051
0.900463,0.000954
0.85092,0.000587
0.806093,0.000459
0.766156,0.00026
0.729794,0.000241
0.696025,0.000323
0.665728,0.000298
0.637952,0.00028
0.612645,0.000156
0.589032,0.000142
0.567212,0.000122
0.546945,0.000107
0.528068,9.7e-05
0.510449,8.9e-05
0.493967,8.2e-05
0.478517,7.5e-05
1.186523,0.001583
1.101834,0.00123
1.02821,0.001135
0.963979,0.000895
0.907186,0.000857
0.857279,0.000531
0.812168,0.000413
0.771936,0.000234
0.735327,0.000217
0.701382,0.000291
0.670877,0.000269
0.642904,0.000256
0.617393,0.000145
0.593647,0.000125
0.571673,0.000108
0.551256,9.7e-05
0.532243,8.8e-05
0.514498,8.1e-05
0.497899,7.4e-05
0.48234,6.9e-05
1.195774,0.001377
1.110469,0.001095
1.036386,0.001008
0.971748,0.00074
0.914524,0.000771
0.864221,0.000485
0.818806,0.000372
0.778257,0.000211
0.741381,0.000196
0.707238,0.000263
0.676504,0.000246
0.648309,0.000238
0.622606,0.000133
0.598702,0.000111
0.576551,9.8e-05
0.555975,8.8e-05
0.536816,8.1e-05
0.518936,7.4e-05
0.50221,6.8e-05
0.48653,6.3e-05
1.205805,0.001196
1.119845,0.000984
1.045262,0.000902
0.980069,0.000781
0.922521,0.000696
0.871795,0.000448
0.826056,0.000336
0.785166,0.000191
0.747997,0.000178
0.713632,0.000239
0.682644,0.000227
0.654207,0.000226
0.628334,0.000117
0.604223,0.0001
0.581886,9e-05
0.56114,8.1e-05
0.541823,7.4e-05
0.523795,6.8e-05
0.50693,6.3e-05
0.491119,5.7e-05
1.216688,0.001034
1.130038,0.000886
1.054914,0.000812
0.989251,0.000691
0.931233,0.000631
0.88005,0.00042
0.833968,0.000305
0.79271,0.000173
0.755221,0.000162
0.720606,0.00022
0.689334,0.000216
0.660717,0.000201
0.634581,0.000106
