theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,-7.0,1.143452,0.003741,5.0,1.0,0.013356311426429233,0.0,0.0,0.031,0.0,0.089,1.615,0.04,0.052,0.0
0.275,-7.0,0.83775,0.001243,5.0,1.0,0.026206118195611954,0.0,0.0,0.038,0.0,0.103,1.615,0.04,0.073,0.0
0.35,-7.0,0.660355,0.00054,5.0,1.0,0.043682653452344504,0.0,0.0,0.042,0.0,0.122,1.615,0.04,0.097,0.0
0.425,-7.0,0.545166,0.00021,5.0,1.0,0.06742307277362186,0.0,0.0,0.046,0.0,0.146,1.615,0.04,0.125,0.0
0.5,-7.0,0.46397,0.00013,5.0,1.0,0.10016911990534813,0.0,0.0,0.048,0.0,0.179,1.615,0.04,0.161,0.0
0.2,-6.0,1.17592,0.001892,5.0,1.0,0.02695715404438719,0.0,0.0,0.058,0.0,0.165,1.755,0.067,0.099,0.0
0.275,-6.0,0.861327,0.000681,5.0,1.0,0.05252031415691209,0.0,0.0,0.07,0.0,0.193,1.755,0.067,0.141,0.0
0.35,-6.0,0.679299,0.000318,5.0,1.0,0.08744665939839406,0.0,0.0,0.079,0.0,0.229,1.755,0.067,0.186,0.0
0.425,-6.0,0.560962,0.000121,5.0,1.0,0.13514278921849393,0.0,0.0,0.084,0.0,0.277,1.755,0.067,0.241,0.0
0.5,-6.0,0.477616,7.7e-05,5.0,1.0,0.2011062876771088,0.0,0.0,0.089,0.0,0.344,1.755,0.067,0.312,0.0
0.2,-5.0,1.222473,0.00096,5.0,1.0,0.051041993431865204,0.0,0.0,0.103,0.0,0.29,1.915,0.106,0.18,0.0
0.275,-5.0,0.896707,0.000488,5.0,1.0,0.09868616923662356,0.0,0.0,0.124,0.0,0.341,1.915,0.106,0.254,0.0
0.35,-5.0,0.708267,0.000211,5.0,1.0,0.16373640249013333,0.0,0.0,0.138,0.0,0.408,1.915,0.106,0.336,0.0
0.425,-5.0,0.58543,7.8e-05,5.0,1.0,0.2522702337110478,0.0,0.0,0.148,0.0,0.498,1.915,0.106,0.437,0.0
0.5,-5.0,0.498821,5e-05,3.87892445700655,0.7567645270996662,0.37341666324358497,0.0968016476442958,0.0,0.155,0.004,0.62,1.915,0.106,0.567,0.103
0.2,-4.0,1.290267,0.000792,5.0,1.0,0.09030999080709486,0.0,0.0,0.173,0.0,0.484,2.101,0.159,0.307,0.0
0.275,-4.0,0.949974,0.00031,5.0,1.0,0.17297786363280865,0.0,0.0,0.208,0.0,0.572,2.101,0.159,0.433,0.0
0.35,-4.0,0.752059,0.000139,5.0,1.0,0.28486622832624686,0.0,0.0,0.23,0.0,0.687,2.101,0.159,0.572,0.0
0.425,-4.0,0.622518,5.8e-05,1.5041799368835123,0.13017208284996268,0.4347919895926298,0.40349980850099715,0.01869086588344314,0.246,0.134,0.84,2.101,0.159,0.742,0.572
0.5,-4.0,0.531051,3.1e-05,1.1685522409823959,0.22275019610459776,0.6344050674242508,0.5928094370104321,0.20505413301894893,0.257,0.144,1.041,2.101,0.159,0.956,0.773
0.2,-3.0,1.389664,0.000551,5.0,1.0,0.14874884374051875,0.0,0.0,0.276,0.0,0.769,2.315,0.227,0.493,0.0
0.275,-3.0,1.028519,0.000204,1.7762077212070186,0.0013089073254431447,0.28149276735172846,0.2707904862329568,0.0,0.329,0.227,0.91,2.315,0.227,0.692,0.554
0.35,-3.0,0.816995,7.1e-05,1.4946288817379416,0.0003180361418274644,0.4578125697231647,0.4456644438332317,0.1636775079783015,0.363,0.262,1.092,2.315,0.227,0.912,0.773
0.425,-3.0,0.677667,4.6e-05,0.821698549341081,0.0003180007030385653,0.6873141239293521,0.6865568294166928,0.3832570147123123,0.388,0.362,1.325,2.315,0.227,1.172,1.14
0.5,-3.0,0.578973,6.9e-05,0.578973,6.9e-05,0.9800845897831758,0.9800845897831758,0.6742236002674368,0.406,0.406,1.62,2.315,0.227,1.487,1.487
