y_0,y_1
1.161055,0.002212
0.805963,0.001026
0.617195,0.000615
0.500111,0.000407
0.421277,4.3e-05
0.363253,2.9e-05
0.319524,0.0
0.284853,0.0
0.256853,5.4e-05
0.234049,4.2e-05
1.171756,0.002002
0.813154,0.000971
0.622637,0.000566
0.505865,3.9e-05
0.424986,3.6e-05
0.366438,2.4e-05
0.322327,0.0
0.287332,0.0
0.259108,4.5e-05
0.236101,3.4e-05
1.181509,0.001867
0.819748,0.000921
0.627609,0.000554
0.509931,4.7e-05
0.428443,3e-05
0.36941,2e-05
0.324928,0.0
0.289647,0.0
0.261214,3.7e-05
0.23802,2.9e-05
1.190697,0.001736
0.825856,0.000892
0.632299,0.000536
0.513823,4e-05
0.431701,2.5e-05
0.372211,1.7e-05
0.327368,0.0
0.291832,0.0
0.263371,0.0
0.23983,2.4e-05
1.198826,0.001741
0.831612,0.000878
0.636709,0.00053
0.515849,0.000355
0.434819,2.2e-05
0.374893,1.4e-05
0.329697,0.0
0.293925,0.0
0.265259,0.0
0.241688,0.0
1.206775,0.001722
0.837141,0.000872
0.640967,0.000527
0.519316,0.000353
0.437852,1.9e-05
0.377504,1.2e-05
0.331959,0.0
0.295964,0.0
0.267098,0.0
0.243362,0.0
1.214442,0.001725
0.842544,0.000873
0.645144,0.000527
0.522724,0.000353
0.440336,8.1e-05
0.38008,1.1e-05
0.334193,0.0
0.297977,0.0
0.268914,0.0
0.245016,0.0
1.222049,0.001728
0.847898,0.000876
0.652457,3.9e-05
0.526113,0.000353
0.44336,7.1e-05
0.382649,9e-06
0.336423,0.0
0.300108,0.0
0.270726,0.0
0.246667,0.0
1.229847,0.001705
0.853246,0.000882
0.656874,3.5e-05
0.52951,0.000355
0.446439,6.3e-05
0.385229,8e-06
0.338558,6e-06
0.302095,0.0
0.272654,0.0
0.248326,0.0
1.237134,0.001761
0.858622,0.00089
0.661326,3.1e-05
0.534914,9e-05
0.449479,5.7e-05
0.38783,8e-06
0.340843,5e-06
0.304106,0.0
0.27446,0.0
0.250076,0.0
