theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,4.0,1.161055,0.002212,5.0,1.0,0.09459846408515828,0.0,0.0,0.139,0.0,0.323,4.11,0.047,0.269,0.0
0.4,4.0,0.583074,0.000541,5.0,1.0,0.37958006020976115,0.0,0.0,0.166,0.0,0.614,4.11,0.047,0.587,0.0
0.6000000000000001,4.0,0.39012,3.5e-05,5.0,1.0,0.9499937881092766,0.0,0.0,0.175,0.0,1.187,4.11,0.047,1.168,0.0
0.8,4.0,0.29276,0.0,5.0,1.0,1.8197060885247467,0.0,0.0,0.179,0.0,2.058,4.11,0.047,2.044,0.0
1.0,4.0,0.234049,4.2e-05,0.0,0.762073962254141,2.7728928113870794,1.522840070742997,0.015849500313827924,0.182,0.046,3.011,4.11,0.047,3.0,1.58
0.2,5.0,1.183806,0.001844,5.0,1.0,0.18601277570065897,0.0,0.0,0.23,0.0,0.55,5.035,0.06,0.473,0.0
0.4,5.0,0.594039,0.00049,5.0,1.0,0.7262443430086426,0.0,0.0,0.265,0.0,1.096,5.035,0.06,1.057,0.0
0.6000000000000001,5.0,0.397511,2.3e-05,5.0,1.0,1.675631181198168,0.0,0.0,0.277,0.0,2.047,5.035,0.06,2.021,0.0
0.8,5.0,0.298261,0.0,0.0,0.7620718455486598,2.806620122622948,1.4888698476356983,0.04265674153840027,0.282,0.071,3.179,5.035,0.06,3.16,1.578
1.0,5.0,0.238481,2.7e-05,0.0,0.40720516236618653,3.827678731350516,3.5208395436757027,0.40375985136476555,0.286,0.178,4.201,5.035,0.06,4.185,3.743
0.2,6.0,1.202841,0.001729,5.0,1.0,0.3282527063971565,0.0,0.0,0.345,0.0,0.857,6.009,0.072,0.76,0.0
0.4,6.0,0.603502,0.000474,5.0,1.0,1.2246630603799167,0.0,0.0,0.389,0.0,1.759,6.009,0.072,1.71,0.0
0.6000000000000001,6.0,0.404049,1.6e-05,3.07674011504016,0.7489594041819343,2.542373757545675,0.9389985033151339,0.0,0.403,0.054,3.079,6.009,0.072,3.046,1.007
0.8,6.0,0.30314,0.0,0.0,0.40725320359418593,3.810335690825894,3.4741378813731676,0.4548476659296885,0.41,0.256,4.347,6.009,0.072,4.323,3.794
1.0,6.0,0.242529,0.0,0.0,0.14929238306665546,4.8355057321435435,4.807363388831367,1.3000787201079136,0.415,0.368,5.373,6.009,0.072,5.354,5.267
0.2,7.0,1.220445,0.001681,5.0,1.0,0.5321765186285184,0.0,0.0,0.485,0.0,1.254,7.002,0.084,1.138,0.0
0.4,7.0,0.612403,0.000474,5.0,1.0,1.86202731772649,0.0,0.0,0.536,0.0,2.59,7.002,0.084,2.532,0.0
0.6000000000000001,7.0,0.410284,1.2e-05,2.1808754182311563,0.28881461036572925,3.4688816991633185,2.9779984082372635,0.3332364398897243,0.554,0.288,4.199,7.002,0.084,4.161,3.338
0.8,7.0,0.307921,0.0,0.33619073521376835,0.04009691332144267,4.786113702864287,4.782286995092013,1.4145266402452987,0.562,0.537,5.518,7.002,0.084,5.489,5.454
1.0,7.0,0.246254,0.0,0.047054174231766645,0.05293965606038612,5.792084410286928,5.790000238441818,2.417279448114985,0.567,0.553,6.524,7.002,0.084,6.501,6.481
0.2,8.0,1.237134,0.001761,5.0,1.0,0.8055705486978434,0.0,0.0,0.648,0.0,1.75,8.0,0.096,1.616,0.0
0.4,8.0,0.62462,2.7e-05,5.668693708575762,0.0,2.6038933480964754,1.7950460947293498,0.13890198097485396,0.708,0.235,3.556,8.0,0.096,3.489,2.09
0.6000000000000001,8.0,0.416232,4.6e-05,0.9159977025995999,0.0,4.401199827423029,4.392677884726916,1.2481832207392725,0.728,0.68,5.356,8.0,0.096,5.311,5.243
0.8,8.0,0.312546,0.0,0.42383460309723503,0.0003043935800759664,5.7200413349333985,5.719482904603687,2.5581775113350664,0.738,0.727,6.676,8.0,0.096,6.643,6.628
1.0,8.0,0.250076,0.0,0.250076,0.0,6.700119493642531,6.700119493642531,3.5371011521686055,0.744,0.744,7.657,8.0,0.096,7.63,7.63
