theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,-7.0,1.149037,3e-06,0.0,1.0,0.013356257002997404,0.0,8.484577055481099e-05,0.031,0.0,0.089,1.615,0.04,0.052,0.0
0.23,-7.0,0.997687,0.002431,0.0,1.0,0.018008436446127853,0.0,8.484577055481099e-05,0.034,0.0,0.095,1.615,0.04,0.06,0.0
0.26,-7.0,0.887169,0.0,0.0,1.0,0.02330245041492674,0.0,8.484577055481099e-05,0.037,0.0,0.1,1.615,0.04,0.069,0.0
0.29000000000000004,-7.0,0.796487,0.0,0.0,1.0,0.029292093392026652,0.0,8.484577055481099e-05,0.039,0.0,0.107,1.615,0.04,0.078,0.0
0.32,-7.0,0.722516,0.0,0.0,1.0,0.03605294787035321,0.0,8.484577055481099e-05,0.041,0.0,0.114,1.615,0.04,0.087,0.0
0.35,-7.0,0.661303,0.000447,0.0,1.0,0.043682649721256205,0.0,8.484577055481099e-05,0.042,0.0,0.122,1.615,0.04,0.097,0.0
0.38,-7.0,0.609433,0.0,0.0,1.0,0.05230267094591064,0.0,8.484577055481099e-05,0.044,0.0,0.13,1.615,0.04,0.107,0.0
0.41000000000000003,-7.0,0.565197,0.0,0.0,1.0,0.0620615914656927,0.0,8.484577055481099e-05,0.045,0.0,0.14,1.615,0.04,0.119,0.0
0.44,-7.0,0.526817,0.000105,0.0,1.0,0.07313963904879431,0.0,8.484577055481099e-05,0.046,0.0,0.152,1.615,0.04,0.131,0.0
0.47000000000000003,-7.0,0.493575,0.0,0.0,1.0,0.08575467117147499,0.0,8.484577055481099e-05,0.047,0.0,0.164,1.615,0.04,0.145,0.0
0.5,-7.0,0.464144,0.0,0.0,1.0,0.10016911857891497,0.0,8.484577055481099e-05,0.048,0.0,0.179,1.615,0.04,0.161,0.0
0.2,-6.6,1.15579,0.002968,0.0,1.0,0.01781999414662199,0.0,8.484577055481099e-05,0.04,0.0,0.115,1.669,0.049,0.068,0.0
0.23,-6.6,1.008667,0.001315,0.0,1.0,0.023988449377232806,0.0,8.484577055481099e-05,0.044,0.0,0.122,1.669,0.049,0.079,0.0
0.26,-6.6,0.895575,0.0,0.0,1.0,0.03101153204193278,0.0,8.484577055481099e-05,0.047,0.0,0.129,1.669,0.049,0.09,0.0
0.29000000000000004,-6.6,0.804141,0.0,0.0,1.0,0.03896403994906897,0.0,8.484577055481099e-05,0.05,0.0,0.138,1.669,0.049,0.102,0.0
0.32,-6.6,0.728797,0.000482,0.0,1.0,0.047949818651790155,0.0,8.484577055481099e-05,0.053,0.0,0.147,1.669,0.049,0.114,0.0
0.35,-6.6,0.667642,0.0,0.0,1.0,0.05810202540108687,0.0,8.484577055481099e-05,0.055,0.0,0.157,1.669,0.049,0.127,0.0
0.38,-6.6,0.615447,0.0,0.0,1.0,0.06958562513284473,0.0,8.484577055481099e-05,0.057,0.0,0.169,1.669,0.049,0.14,0.0
0.41000000000000003,-6.6,0.570835,0.0,0.0,1.0,0.08260154306263626,0.0,8.484577055481099e-05,0.058,0.0,0.182,1.669,0.049,0.155,0.0
0.44,-6.6,0.531548,0.000412,0.0,1.0,0.09739257606591524,0.0,8.484577055481099e-05,0.06,0.0,0.197,1.669,0.049,0.172,0.0
0.47000000000000003,-6.6,0.498543,0.0,0.0,1.0,0.11425046374284072,0.0,8.484577055481099e-05,0.061,0.0,0.215,1.669,0.049,0.19,0.0
0.5,-6.6,0.468498,0.000292,0.0,1.0,0.13352455255485138,0.0,8.484577055481099e-05,0.062,0.0,0.234,1.669,0.049,0.211,0.0
0.2,-6.2,1.16849,0.002374,0.0,1.0,0.02354199322975391,0.0,8.484577055481099e-05,0.051,0.0,0.147,1.725,0.061,0.088,0.0
0.23,-6.2,1.019594,0.001286,0.0,1.0,0.031641705552803705,0.0,8.484577055481099e-05,0.056,0.0,0.155,1.725,0.061,0.102,0.0
0.26,-6.2,0.905543,0.0,0.0,1.0,0.04086689152445524,0.0,8.484577055481099e-05,0.061,0.0,0.165,1.725,0.061,0.117,0.0
0.29000000000000004,-6.2,0.813169,0.0,0.0,1.0,0.05131954779275308,0.0,8.484577055481099e-05,0.064,0.0,0.176,1.725,0.061,0.132,0.0
0.32,-6.2,0.737892,0.0,0.0,1.0,0.06313955055420752,0.0,8.484577055481099e-05,0.067,0.0,0.189,1.725,0.061,0.147,0.0
0.35,-6.2,0.675396,0.0,0.0,1.0,0.07650500499056022,0.0,8.484577055481099e-05,0.07,0.0,0.202,1.725,0.061,0.164,0.0
0.38,-6.2,0.622666,0.0,0.0,1.0,0.09163527707517324,0.0,8.484577055481099e-05,0.072,0.0,0.218,1.725,0.061,0.182,0.0
0.41000000000000003,-6.2,0.576789,0.000389,0.0,1.0,0.1087962080186157,0.0,8.484577055481099e-05,0.074,0.0,0.235,1.725,0.061,0.202,0.0
0.44,-6.2,0.538915,0.0,0.0,1.0,0.128306944325685,0.0,8.484577055481099e-05,0.076,0.0,0.255,1.725,0.061,0.223,0.0
0.47000000000000003,-6.2,0.504841,0.0,0.0,1.0,0.15054771322335772,0.0,8.484577055481099e-05,0.078,0.0,0.278,1.725,0.061,0.247,0.0
0.5,-6.2,0.473976,0.000218,0.0,1.0,0.1759705418435348,0.0,8.484577055481099e-05,0.079,0.0,0.303,1.725,0.061,0.275,0.0
0.2,-5.8,1.185508,0.001099,0.0,1.0,0.030789047240876638,0.0,8.484577055481099e-05,0.065,0.0,0.185,1.785,0.074,0.112,0.0
0.23,-5.8,1.033191,0.000914,0.0,1.0,0.04131814218728687,0.0,8.484577055481099e-05,0.072,0.0,0.197,1.785,0.074,0.131,0.0
0.26,-5.8,0.91565,0.000889,0.0,1.0,0.053312217234864824,0.0,8.484577055481099e-05,0.077,0.0,0.21,1.785,0.074,0.149,0.0
0.29000000000000004,-5.8,0.822456,0.000723,0.0,1.0,0.06690726095932654,0.0,8.484577055481099e-05,0.081,0.0,0.224,1.785,0.074,0.169,0.0
0.32,-5.8,0.746689,0.000532,0.0,1.0,0.0822877012327767,0.0,8.484577055481099e-05,0.085,0.0,0.24,1.785,0.074,0.189,0.0
0.35,-5.8,0.684735,9.5e-05,0.0,1.0,0.09968653010447849,0.0,8.484577055481099e-05,0.088,0.0,0.258,1.785,0.074,0.21,0.0
0.38,-5.8,0.630896,0.00024,0.0,1.0,0.11938881136219603,0.0,8.484577055481099e-05,0.091,0.0,0.278,1.785,0.074,0.233,0.0
0.41000000000000003,-5.8,0.584445,0.000547,0.0,1.0,0.14173752692120978,0.0,8.484577055481099e-05,0.094,0.0,0.301,1.785,0.074,0.259,0.0
0.44,-5.8,0.545614,0.000265,0.0,1.0,0.16714003354617946,0.0,8.484577055481099e-05,0.096,0.0,0.326,1.785,0.074,0.287,0.0
0.47000000000000003,-5.8,0.511175,0.000193,0.7688915730313743,0.9999992265268108,0.1960779153918612,-5.462358249253917e-06,8.484577055481099e-05,0.098,0.0,0.356,1.785,0.074,0.318,0.0
0.5,-5.8,0.480828,0.000169,1.08613332304371,0.9999999829481506,0.22911556698511928,-1.1785697664531703e-05,8.493942789902086e-05,0.1,0.0,0.389,1.785,0.074,0.354,0.0
0.2,-5.4,1.201334,0.0015,0.0,1.0,0.03985303797218005,0.0,8.49303134716136e-05,0.082,0.0,0.233,1.848,0.089,0.143,0.0
0.23,-5.4,1.048117,0.001079,0.0,1.0,0.05339839883400952,0.0,8.493083931631954e-05,0.09,0.0,0.248,1.848,0.089,0.166,0.0
0.26,-5.4,0.931409,0.0,0.0,1.0,0.06882703510522353,0.0,8.493145882006643e-05,0.097,0.0,0.264,1.848,0.089,0.19,0.0
0.29000000000000004,-5.4,0.835634,0.000584,0.0,1.0,0.08631599597133037,0.0,8.493219082154142e-05,0.102,0.0,0.282,1.848,0.089,0.214,0.0
0.32,-5.4,0.758761,0.000449,0.0,1.0,0.10610267215094342,0.0,8.493305815569431e-05,0.107,0.0,0.303,1.848,0.089,0.24,0.0
0.35,-5.4,0.694884,0.00037,0.0,1.0,0.12848449076989346,0.0,8.493408845592684e-05,0.111,0.0,0.326,1.848,0.089,0.267,0.0
0.38,-5.4,0.641058,0.000254,0.0,1.0,0.15382240148253096,0.0,8.493531505654198e-05,0.114,0.0,0.352,1.848,0.089,0.297,0.0
0.41000000000000003,-5.4,0.594681,0.000233,0.0,1.0,0.18254543877334725,0.0,8.493677792340251e-05,0.118,0.0,0.381,1.848,0.089,0.329,0.0
0.44,-5.4,0.554717,0.000217,0.84129508266276,0.9999995034724243,0.21515847408185085,-6.774286719601056e-06,8.493852439496898e-05,0.12,0.0,0.414,1.848,0.089,0.365,0.0
0.47000000000000003,-5.4,0.519747,0.000181,1.506656329613533,0.9917769730670255,0.25224947075225673,0.0051331326666477425,8.500206293797272e-05,0.123,0.001,0.451,1.848,0.089,0.406,0.006
0.5,-5.4,0.488968,0.000168,3.837262469430816,0.8732980896669222,0.29449553135800177,0.04328726943822023,0.0011816159559752209,0.125,0.002,0.494,1.848,0.089,0.451,0.046
0.2,-5.0,1.221559,0.001229,0.0,1.0,0.051041993608806194,0.0,8.493677792340251e-05,0.103,0.0,0.29,1.915,0.106,0.18,0.0
0.23,-5.0,1.066843,0.000884,0.0,1.0,0.0682810074957001,0.0,8.493677792340251e-05,0.113,0.0,0.309,1.915,0.106,0.209,0.0
0.26,-5.0,0.946758,0.000684,0.0,1.0,0.0879090510313687,0.0,8.493677792340251e-05,0.121,0.0,0.329,1.915,0.106,0.239,0.0
0.29000000000000004,-5.0,0.85111,0.000493,0.0,1.0,0.11015051538352581,0.0,8.493677792340251e-05,0.127,0.0,0.353,1.915,0.106,0.27,0.0
0.32,-5.0,0.773,0.00037,0.0,1.0,0.13530313049036197,0.0,8.493677792340251e-05,0.133,0.0,0.379,1.915,0.106,0.302,0.0
0.35,-5.0,0.707948,0.000313,0.0,1.0,0.1637364031592186,0.0,8.493677792340251e-05,0.138,0.0,0.408,1.915,0.106,0.336,0.0
0.38,-5.0,0.653131,0.000253,0.8437213334986738,1.0000000035900596,0.19589321129513435,-7.1205573390967045e-06,8.493769774401037e-05,0.142,-0.0,0.441,1.915,0.106,0.374,-0.0
0.41000000000000003,-5.0,0.606171,0.000216,0.9087148430530367,0.9999974481374495,0.2322935550405131,-6.63814088647271e-06,8.497117816751951e-05,0.146,0.0,0.478,1.915,0.106,0.415,0.0
0.44,-5.0,0.565424,0.000247,1.4869379635103386,0.9841461439332729,0.2735406097276243,0.010452287817869377,0.0005758403508763407,0.149,0.001,0.519,1.915,0.106,0.46,0.012
0.47000000000000003,-5.0,0.529916,0.000158,1.3765192557856414,0.9019299177770109,0.3203231456502714,0.0729566540912728,0.00701611084813189,0.152,0.009,0.567,1.915,0.106,0.511,0.085
0.5,-5.0,0.498656,0.000119,2.8427525685229194,0.5750603869687742,0.3734166640389339,0.19169731332877246,0.025229583757460372,0.155,0.016,0.62,1.915,0.106,0.567,0.212
0.2,-4.6,1.245834,0.001034,0.0,1.0,0.06466688331380516,0.0,8.493885497062023e-05,0.128,0.0,0.358,1.986,0.125,0.224,0.0
0.23,-4.6,1.088725,0.000735,0.0,1.0,0.08636372631480395,0.0,8.493885497062023e-05,0.14,0.0,0.382,1.986,0.125,0.261,0.0
0.26,-4.6,0.966879,0.000407,0.0,1.0,0.11104845239169607,0.0,8.493885497062023e-05,0.149,0.0,0.408,1.986,0.125,0.298,0.0
0.29000000000000004,-4.6,0.869961,0.0,0.0,1.0,0.13899730837204857,0.0,8.493885497062023e-05,0.157,0.0,0.437,1.986,0.125,0.336,0.0
0.32,-4.6,0.790298,0.0,0.0,1.0,0.17057306242213477,0.0,8.493885497062023e-05,0.164,0.0,0.47,1.986,0.125,0.376,0.0
0.35,-4.6,0.723069,0.000402,0.879163890201267,1.0000000040112182,0.2062204474814537,-7.73147085819289e-06,8.494306341215057e-05,0.17,-0.0,0.506,1.986,0.125,0.419,-0.0
0.38,-4.6,0.667541,0.000204,0.8080188571268773,1.0000055582228848,0.24646424840519432,-1.0305400691034349e-05,8.513224528776015e-05,0.176,-0.0,0.547,1.986,0.125,0.466,-0.0
0.41000000000000003,-4.6,0.619689,0.000164,0.7823165494106391,0.8852006155948562,0.2919127185840368,0.08275155798823122,0.0015019035756584412,0.18,0.019,0.593,1.986,0.125,0.517,0.106
0.44,-4.6,0.578056,0.000228,0.8199527667837208,0.774119611106796,0.3432561178405691,0.17053674920738784,0.0179565727584575,0.184,0.037,0.645,1.986,0.125,0.574,0.216
0.47000000000000003,-4.6,0.541913,0.000125,1.5141145405950254,0.43024319689620577,0.4012641479452702,0.316878608048298,0.049837870552920854,0.188,0.063,0.704,1.986,0.125,0.636,0.395
0.5,-4.6,0.510024,0.000102,1.490423463754514,0.2917630050913848,0.4667781047547194,0.40616745349126077,0.1044853612624144,0.191,0.079,0.77,1.986,0.125,0.706,0.505
0.2,-4.199999999999999,1.274237,0.000898,0.0,1.0,0.08102382348960252,0.0,8.743041449327305e-05,0.157,0.0,0.439,2.061,0.147,0.277,0.0
0.23,-4.199999999999999,1.114856,0.00043,0.0,1.0,0.10801892708347513,0.0,8.743041449327305e-05,0.171,0.0,0.468,2.061,0.147,0.322,0.0
0.26,-4.199999999999999,0.989994,0.000329,1.133425317735333,1.0000000054923808,0.13869494124069165,-1.2848358809305631e-05,8.743041449327305e-05,0.183,-0.0,0.5,2.061,0.147,0.367,-0.0
0.29000000000000004,-4.199999999999999,0.890892,8.3e-05,0.0,1.0,0.1733812231074249,0.0,8.743041449327305e-05,0.193,0.0,0.537,2.061,0.147,0.415,0.0
0.32,-4.199999999999999,0.809164,0.00029,0.0,1.0,0.2125055452153056,0.0,8.743041449327305e-05,0.201,0.0,0.577,2.061,0.147,0.464,0.0
0.35,-4.199999999999999,0.741677,0.000239,0.0,1.0,0.25658325244429003,0.0,0.00043921007813753647,0.209,0.0,0.622,2.061,0.147,0.517,0.0
0.38,-4.199999999999999,0.684501,0.000188,0.7828326862689539,0.7251916958438273,0.3062149032620888,0.1729251266675053,0.00986279514347276,0.215,0.056,0.673,2.061,0.147,0.575,0.243
0.41000000000000003,-4.199999999999999,0.635541,0.000173,1.2849488819045853,0.3705500636175385,0.36208086821388796,0.308211601613684,0.043378083936650984,0.22,0.098,0.729,2.061,0.147,0.637,0.431
0.44,-4.199999999999999,0.593138,0.000138,1.3407251261666966,0.2842453997338397,0.4249341154759586,0.37804162315326517,0.09788519572543553,0.225,0.108,0.793,2.061,0.147,0.706,0.514
0.47000000000000003,-4.199999999999999,0.556052,0.000118,1.2928632467929724,0.24060070276254075,0.49558867330935824,0.4527969139412717,0.16173630960142016,0.229,0.118,0.864,2.061,0.147,0.782,0.6
0.5,-4.199999999999999,0.523325,9.6e-05,1.220603344415532,0.22264679921061606,0.5749004715639542,0.533670033321965,0.23521425426364861,0.233,0.126,0.944,2.061,0.147,0.867,0.691
0.2,-3.8,1.308505,0.000103,0.0,1.0,0.10037226372795362,0.0,0.00043921007813753647,0.191,0.0,0.533,2.141,0.171,0.339,0.0
0.23,-3.8,1.144691,1.8e-05,0.0,1.0,0.1335638224126241,0.0,0.00043921007813753647,0.208,0.0,0.569,2.141,0.171,0.394,0.0
0.26,-3.8,1.016922,0.000317,0.0,1.0,0.171218405751838,0.0,0.00043921007813753647,0.222,0.0,0.609,2.141,0.171,0.449,0.0
0.29000000000000004,-3.8,0.915093,0.000322,0.0,1.0,0.2137147797908852,0.0,0.00043921007813753647,0.234,0.0,0.653,2.141,0.171,0.507,0.0
0.32,-3.8,0.832102,0.000238,0.6286488164959478,1.0000879021393014,0.26153753741665176,-7.472555339016724e-05,0.0023890931111856853,0.244,-0.0,0.703,2.141,0.171,0.567,-0.0
0.35,-3.8,0.762931,0.000195,1.683669559647547,0.08444328259609585,0.31526209906584896,0.29220962253988875,0.03435140811282217,0.253,0.143,0.758,2.141,0.171,0.632,0.471
0.38,-3.8,0.704606,0.000133,1.7733170457532599,0.0583156371562909,0.37554535377832,0.3458697904070654,0.08940051708136598,0.261,0.14,0.819,2.141,0.171,0.701,0.521
0.41000000000000003,-3.8,0.654162,0.00013,1.3814479860519921,0.16653627144443733,0.4431117473144441,0.4133024034889366,0.15144127685812792,0.267,0.153,0.888,2.141,0.171,0.777,0.605
0.44,-3.8,0.610673,0.000113,1.2053582818660256,0.17265030135006557,0.5187378537830506,0.49118938794381845,0.22183199931959818,0.273,0.167,0.964,2.141,0.171,0.86,0.7
0.47000000000000003,-3.8,0.57263,0.000101,1.0814464067260998,0.1657905335078466,0.6032299793740182,0.5781867335749945,0.3017988774251551,0.278,0.18,1.049,2.141,0.171,0.951,0.803
0.5,-3.8,0.53903,8.1e-05,1.0118419150340792,0.16119688879312147,0.6973933320341608,0.6726240386256328,0.39207735590995896,0.283,0.187,1.144,2.141,0.171,1.051,0.907
0.2,-3.4,1.346449,0.000134,0.0,1.0,0.12291030961844311,0.0,0.0024163224406589918,0.231,0.0,0.643,2.225,0.198,0.411,0.0
0.23,-3.4,1.178958,8.7e-05,0.0,1.0,0.16322736496192783,0.0,0.0024163224406589918,0.251,0.0,0.687,2.225,0.198,0.477,0.0
0.26,-3.4,1.048204,0.000331,0.3678424093367509,1.0000176087679378,0.20886621073190526,-1.2052386821691343e-05,0.0024163224406589918,0.268,-0.0,0.735,2.225,0.198,0.544,-0.0
0.29000000000000004,-3.4,0.944604,4e-06,1.788883307735759,-9.653190379709788e-06,0.2602438328477515,0.24752646038754808,0.030271743567787612,0.282,0.183,0.788,2.225,0.198,0.613,0.477
0.32,-3.4,0.859281,0.0,1.629069410568354,0.0063556805406245545,0.31788561956790906,0.3052872847133301,0.08329405696014158,0.294,0.198,0.848,2.225,0.198,0.686,0.553
0.35,-3.4,0.787751,0.000177,1.4320867629173823,0.04181425246046606,0.3824064334321953,0.36990458519904024,0.1437451919770023,0.304,0.212,0.914,2.225,0.198,0.763,0.634
0.38,-3.4,0.727562,0.000141,1.258193529018992,0.07529844958364895,0.4544881892824911,0.4416602811660748,0.21261386615353994,0.313,0.223,0.987,2.225,0.198,0.846,0.72
0.41000000000000003,-3.4,0.675985,0.000122,1.1523161789430885,0.08133888639543549,0.5348591271896738,0.5220476420064554,0.28969321725259223,0.321,0.234,1.069,2.225,0.198,0.937,0.814
0.44,-3.4,0.631305,7.8e-05,0.9675896465946071,0.08943189969135815,0.6242679656301708,0.6143060529474337,0.37611187276619995,0.328,0.254,1.159,2.225,0.198,1.035,0.932
0.47000000000000003,-3.4,0.59203,8.2e-05,0.8354146501813953,0.09392888006688166,0.7234510766792366,0.715129216517688,0.4730064833668697,0.334,0.27,1.259,2.225,0.198,1.142,1.052
0.5,-3.4,0.55743,7.3e-05,0.7780783189524625,0.09341397487092437,0.8330923504219754,0.8248409158549677,0.5808051581982345,0.34,0.277,1.37,2.225,0.198,1.258,1.172
