y_0,y_1
1.149037,3e-06
0.997687,0.002431
0.887169,0.0
0.796487,0.0
0.722516,0.0
0.661303,0.000447
0.609433,0.0
0.565197,0.0
0.526817,0.000105
0.493575,0.0
0.464144,0.0
1.15579,0.002968
1.008667,0.001315
0.895575,0.0
0.804141,0.0
0.728797,0.000482
0.667642,0.0
0.615447,0.0
0.570835,0.0
0.531548,0.000412
0.498543,0.0
0.468498,0.000292
1.16849,0.002374
1.019594,0.001286
0.905543,0.0
0.813169,0.0
0.737892,0.0
0.675396,0.0
0.622666,0.0
0.576789,0.000389
0.538915,0.0
0.504841,0.0
0.473976,0.000218
1.185508,0.001099
1.033191,0.000914
0.91565,0.000889
0.822456,0.000723
0.746689,0.000532
0.684735,9.5e-05
0.630896,0.00024
0.584445,0.000547
0.545614,0.000265
0.511175,0.000193
0.480828,0.000169
1.201334,0.0015
1.048117,0.001079
0.931409,0.0
0.835634,0.000584
0.758761,0.000449
0.694884,0.00037
0.641058,0.000254
0.594681,0.000233
0.554717,0.000217
0.519747,0.000181
0.488968,0.000168
1.221559,0.001229
1.066843,0.000884
0.946758,0.000684
0.85111,0.000493
0.773,0.00037
0.707948,0.000313
0.653131,0.000253
0.606171,0.000216
0.565424,0.000247
0.529916,0.000158
0.498656,0.000119
1.245834,0.001034
1.088725,0.000735
0.966879,0.000407
0.869961,0.0
0.790298,0.0
0.723069,0.000402
0.667541,0.000204
0.619689,0.000164
0.578056,0.000228
0.541913,0.000125
0.510024,0.000102
1.274237,0.000898
1.114856,0.00043
0.989994,0.000329
0.890892,8.3e-05
0.809164,0.00029
0.741677,0.000239
0.684501,0.000188
0.635541,0.000173
0.593138,0.000138
0.556052,0.000118
0.523325,9.6e-05
1.308505,0.000103
1.144691,1.8e-05
1.016922,0.000317
0.915093,0.000322
0.832102,0.000238
0.762931,0.000195
0.704606,0.000133
0.654162,0.00013
0.610673,0.000113
0.57263,0.000101
0.53903,8.1e-05
1.346449,0.000134
1.178958,8.7e-05
1.048204,0.000331
0.944604,4e-06
0.859281,0.0
0.787751,0.000177
0.727562,0.000141
0.675985,0.000122
0.631305,7.8e-05
0.59203,8.2e-05
0.55743,7.3e-05
1.389413,0.000581
1.218105,0.000407
1.08463,0.000322
0.977713,0.00022
0.890038,0.000167
0.816671,0.000151
0.754649,0.000127
0.701583,8e-05
0.65501,0.000137
0.614543,0.00017
0.57912,1e-06
