theta_0,theta_1,FB_y_0,FB_y_1,y_0,y_1,FB_surplus,SB_surplus,info_rents,Actuarial premium at first-best,Actuarial premium at second-best,Cost of non-insurance,Expected positive loss,Probability of claim,Value of first-best coverage,Value of second-best coverage
0.2,-7.0,1.149037,3e-06,0.0,1.0,0.013356257002997404,0.0,0.0,0.031,0.0,0.089,1.615,0.04,0.052,0.0
0.25,-7.0,0.922597,0.000448,0.0,1.0,0.021463599762214333,0.0,0.0,0.036,0.0,0.098,1.615,0.04,0.066,0.0
0.3,-7.0,0.770173,0.0,0.0,1.0,0.0314556641250451,0.0,0.0,0.04,0.0,0.109,1.615,0.04,0.081,0.0
0.35,-7.0,0.661303,0.000447,0.0,1.0,0.043682649721256205,0.0,0.0,0.042,0.0,0.122,1.615,0.04,0.097,0.0
0.4,-7.0,0.579217,0.0,0.0,1.0,0.05867165916031199,0.0,0.0,0.045,0.0,0.137,1.615,0.04,0.115,0.0
0.44999999999999996,-7.0,0.515355,0.0,0.0,1.0,0.07716189466887437,0.0,0.0,0.047,0.0,0.156,1.615,0.04,0.136,0.0
0.5,-7.0,0.464176,0.0,0.0,1.0,0.10016911859054392,0.0,0.0,0.048,0.0,0.179,1.615,0.04,0.161,0.0
0.2,-6.333333333333333,1.164525,0.002034,0.0,1.0,0.021478962792857662,0.0,0.0,0.047,0.0,0.135,1.706,0.057,0.08,0.0
0.25,-6.333333333333333,0.937639,0.0,0.0,1.0,0.03438659588709315,0.0,0.0,0.055,0.0,0.149,1.706,0.057,0.103,0.0
0.3,-6.333333333333333,0.783291,7e-06,0.0,1.0,0.05032432570479216,0.0,0.0,0.06,0.0,0.166,1.706,0.057,0.126,0.0
0.35,-6.333333333333333,0.673235,0.0,0.0,1.0,0.0698802010589395,0.0,0.0,0.064,0.0,0.186,1.706,0.057,0.15,0.0
0.4,-6.333333333333333,0.588581,0.000444,0.0,1.0,0.09392375376050908,0.0,0.0,0.068,0.0,0.211,1.706,0.057,0.179,0.0
0.44999999999999996,-6.333333333333333,0.524522,0.0,0.0,1.0,0.12365879377256508,0.0,0.0,0.071,0.0,0.241,1.706,0.057,0.212,0.0
0.5,-6.333333333333333,0.471966,0.000242,0.0,1.0,0.16071237143418812,0.0,0.0,0.073,0.0,0.278,1.706,0.057,0.252,0.0
0.2,-5.666666666666667,1.189255,0.00175,0.0,1.0,0.03359351385212665,0.0,0.0,0.071,0.0,0.2,1.806,0.078,0.122,0.0
0.25,-5.666666666666667,0.956557,0.00088,0.0,1.0,0.05357968155550525,0.0,0.0,0.081,0.0,0.222,1.806,0.078,0.155,0.0
0.3,-5.666666666666667,0.800094,0.000574,0.0,1.0,0.07827802149317266,0.0,0.0,0.089,0.0,0.248,1.806,0.078,0.19,0.0
0.35,-5.666666666666667,0.687234,0.000419,0.0,1.0,0.10861993956534392,0.0,0.0,0.095,0.0,0.279,1.806,0.078,0.228,0.0
0.4,-5.666666666666667,0.601988,0.00049,0.0,1.0,0.14595410421458896,0.0,0.0,0.1,0.0,0.317,1.806,0.078,0.271,0.0
0.44999999999999996,-5.666666666666667,0.536431,0.000235,0.0,1.0,0.19210655946889493,0.0,0.0,0.104,0.0,0.364,1.806,0.078,0.322,0.0
0.5,-5.666666666666667,0.484022,0.0,0.0,1.0,0.2494785559065539,0.0,0.0,0.108,0.0,0.422,1.806,0.078,0.384,0.0
0.2,-5.0,1.221559,0.001229,0.0,1.0,0.051041993608806194,0.0,0.0,0.103,0.0,0.29,1.915,0.106,0.18,0.0
0.25,-5.0,0.984112,0.000538,0.0,1.0,0.08108862652050784,0.0,0.0,0.118,0.0,0.322,1.915,0.106,0.229,0.0
0.3,-5.0,0.823313,0.000429,0.0,1.0,0.11819450336390537,0.0,0.0,0.129,0.0,0.361,1.915,0.106,0.28,0.0
0.35,-5.0,0.707948,0.000313,0.0,1.0,0.1637364031592186,0.0,0.0,0.138,0.0,0.408,1.915,0.106,0.336,0.0
0.4,-5.0,0.621029,0.00021,0.0,1.0,0.21965309969741287,0.0,0.0,0.145,0.0,0.465,1.915,0.106,0.401,0.0
0.44999999999999996,-5.0,0.553102,0.000177,0.0,1.0,0.2884832108632029,0.0,0.0,0.15,0.0,0.534,1.915,0.106,0.477,0.0
0.5,-5.0,0.498656,0.000119,3.319435456458904,0.49477308897271294,0.3734166640389339,0.18792659068432238,0.0,0.155,0.014,0.62,1.915,0.106,0.567,0.205
0.2,-4.333333333333334,1.266193,0.0,0.0,1.0,0.07525089230923493,0.0,0.0,0.147,0.0,0.41,2.036,0.139,0.259,0.0
0.25,-4.333333333333334,1.01969,0.00051,0.0,1.0,0.11903061053660226,0.0,0.0,0.168,0.0,0.457,2.036,0.139,0.329,0.0
0.3,-4.333333333333334,0.854304,0.000336,0.0,1.0,0.17295186244992858,0.0,0.0,0.183,0.0,0.514,2.036,0.139,0.402,0.0
0.35,-4.333333333333334,0.735266,0.000233,0.0,1.0,0.2388880359595762,0.0,0.0,0.195,0.0,0.581,2.036,0.139,0.483,0.0
0.4,-4.333333333333334,0.645496,0.000136,0.0,1.0,0.3193785103156016,0.0,0.0,0.205,0.0,0.663,2.036,0.139,0.575,0.0
0.44999999999999996,-4.333333333333334,0.575091,0.000138,1.071637367245412,0.40113712702659077,0.4175891179156864,0.3588815190558488,0.03140587329549244,0.212,0.098,0.763,2.036,0.139,0.683,0.481
0.5,-4.333333333333334,0.518619,9.5e-05,1.1851576103254526,0.31297807010703443,0.537228005426301,0.48183196791380484,0.1372077902440068,0.218,0.105,0.883,2.036,0.139,0.81,0.614
0.2,-3.666666666666667,1.320669,4.4e-05,0.0,1.0,0.10752302925735589,0.0,0.0,0.204,0.0,0.568,2.169,0.18,0.362,0.0
0.25,-3.666666666666667,1.066673,0.000219,0.0,1.0,0.16924027451806256,0.0,0.0,0.232,0.0,0.634,2.169,0.18,0.459,0.0
0.3,-3.666666666666667,0.895124,0.0,0.0,1.0,0.2448677779707338,0.0,0.0,0.253,0.0,0.713,2.169,0.18,0.561,0.0
0.35,-3.666666666666667,0.770779,0.000188,1.51722370106248,0.12417719375326897,0.33670520510082863,0.3152933432057412,0.014013192420412657,0.269,0.161,0.807,2.169,0.18,0.673,0.516
0.4,-3.666666666666667,0.677131,0.000143,1.354464477294864,0.1624142279976714,0.447723086274859,0.42015018631217216,0.11650764584269047,0.282,0.168,0.92,2.169,0.18,0.8,0.63
