y_0,y_1
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
1.0,1.0
1.105263,1.0
1.210526,1.0
1.315789,1.0
1.421053,1.0
1.526316,1.0
1.631579,1.0
1.736842,1.0
1.842105,1.0
1.947368,1.0
2.052632,1.0
2.157895,1.0
2.263158,1.0
2.368421,1.0
2.473684,1.0
2.578947,1.0
2.684211,1.0
2.789474,1.0
2.894737,1.0
3.0,1.0
