y_0,y_1
1.0,1.0
1.111111,1.0
1.222222,1.0
1.333333,1.0
1.444444,1.0
1.555556,1.0
1.666667,1.0
1.777778,1.0
1.888889,1.0
2.0,1.0
1.0,1.111111
1.111111,1.111111
1.222222,1.111111
1.333333,1.111111
1.444444,1.111111
1.555556,1.111111
1.666667,1.111111
1.777778,1.111111
1.888889,1.111111
2.0,1.111111
1.0,1.222222
1.111111,1.222222
1.222222,1.222222
1.333333,1.222222
1.444444,1.222222
1.555556,1.222222
1.666667,1.222222
1.777778,1.222222
1.888889,1.222222
2.0,1.222222
1.0,1.333333
1.111111,1.333333
1.222222,1.333333
1.333333,1.333333
1.444444,1.333333
1.555556,1.333333
1.666667,1.333333
1.777778,1.333333
1.888889,1.333333
2.0,1.333333
1.0,1.444444
1.111111,1.444444
1.222222,1.444444
1.333333,1.444444
1.444444,1.444444
1.555556,1.444444
1.666667,1.444444
1.777778,1.444444
1.888889,1.444444
2.0,1.444444
1.0,1.555556
1.111111,1.555556
1.222222,1.555556
1.333333,1.555556
1.444444,1.555556
1.555556,1.555556
1.666667,1.555556
1.777778,1.555556
1.888889,1.555556
2.0,1.555556
1.0,1.666667
1.111111,1.666667
1.222222,1.666667
1.333333,1.666667
1.444444,1.666667
1.555556,1.666667
1.666667,1.666667
1.777778,1.666667
1.888889,1.666667
2.0,1.666667
1.0,1.777778
1.111111,1.777778
1.222222,1.777778
1.333333,1.777778
1.444444,1.777778
1.555556,1.777778
1.666667,1.777778
1.777778,1.777778
1.888889,1.777778
2.0,1.777778
1.0,1.888889
1.111111,1.888889
1.222222,1.888889
1.333333,1.888889
1.444444,1.888889
1.555556,1.888889
1.666667,1.888889
1.777778,1.888889
1.888889,1.888889
2.0,1.888889
1.0,2.0
1.111111,2.0
1.222222,2.0
1.333333,2.0
1.444444,2.0
1.555556,2.0
1.666667,2.0
1.777778,2.0
1.888889,2.0
2.0,2.0
